sentence	ref_anim	ref_case	 distance	conflict	num	outcome
# text = Ony jsou toti? nejv?t??mi v??iteli a z?le?? na nich, jak vyu?ij? mo?nost? dan?ch z?konem.	i	Akk	1	no	1	0
# text = Ani ony toti? nejsou ni??m jin?m, ne? pouh?m podnikatelsk?m subjektem, kter? v tvrd? konkurenci dal??ch bank bu? usp?je, nebo zkrachuje.	i	Nom	2	no	2	0
# text = S n?k?m sta?? promluvit a on si to bude pro p???t? pamatovat, jindy je v?t??m ponau?en?m kr?cen? pr?mi?.	a	Instr	1	no	6	0
# text = Jsou prost? z?le?itosti, o nich? ani on ne?ertuje.	a	Dat	2	no	8	0
# text = M?lili se v?ak oni.	a	Gen	1	no	4	0
# text = Nebo je jim jedno, ?e se po prvn?m pokusu vzd?, na?tvan? si ?ekne: Tak oni po mn? cht?j? ?est korun a je?t? ze m? d?laj? bl?zna, a neozna?en? l?stek si schov? na p???t? j?zdu.	a	No data	0	no	18	0
# text = Oni p?ece byli z bran?e, znal? v?ci.	a	No data	6	no	1	0
# text = Upozorn?me staro?itn?ka, ale on nen? povinen n?? n?zor respektovat.	a	Akk	1	no	5	0
# text = V?dy? tak? nikdo nev? o ?sp??nosti firmy v?ce ne? on.	a	Nom	1	no	10	0
# text = Tak? ony si uv?domily, ?e trval? tlak na mzdy (a n?sledn? na ceny) m? bumerangov? efekt v krajn? ne??douc? podob? varuj?c?ho oslaben? konkuren?n? schopnosti v?t?iny z?padoevropsk?ch producent? za jejich severoamerick?mi a tichomo?sk?mi konkurenty.	i	Gen	1	no	2	0
# text = Z?konit? by pak i on musel zv??it ceny.	i	Nom	5	no	5	0
# text = Domn?v? se opr?vn?n?, ?e za tuto dobu jak jeho firma, tak on jako jej? majitel ud?lali pro st?t a m?sto nem?lo.	a	Instr	6	no	14	0
# text = K narozenin?m jsem dal man?elce d?rek, ale ona s n?m nezach?z? dob?e a podle m?ch p?edstav.	a	Dat	1	no	9	0
# text = Ona se v?ak br?n? zn?m?m r?en?m - co se jednou d?, to se z ruky nevyd?.	a	Dat	3	no	1	0
# text = Obvykle je snadno vid?t, ?e podm?nky spl?cen? jsou ne?nosn? tvrd?, zvl??t? kdy? se podnikateli stav? do cesty p?ek??ky, kter? on s?m nem??e nijak ovlivnit - jsou povolen?, na kter? se ?ek? m?s?ce , a podobn?.	a	Dat	1	no	23	0
# text = Pokud jsou odpov?di kladn?, used? za volant on.	a	Akk	4	no	9	0
# text = Ale to on, mezek, dnes je?t? nech?pe.	a	Nom	-1	no	3	0
# text = Protestuji, ?e pr?v? tuto bankovku mi v t?to bance ona sama p?ed m?s?cem vym?nila za ?ilinky.	a	Nom	6	no	11	0
# text = I ony ale maj? velk? v?znam:	i	Nom	1	no	2	0
# text = N?kte?? komunist? na Praze 4 pr? za?ali vyu??vat nevyjasn?n? situace pro chytrou formu p?edvolebn? agitace: podle jejich tvrzen? ODS nepln? sliby, zat?mco oni jsou neb?vale ochotni podporovat stanovisko ob?an? (za postoj n?kdej?? KS? samoz?ejm? nemohou)...	a	Nom	2	no	25	0
# text = Ty v?ak mnoh? z?kazn?ky odrazovaly.	i	Akk	1	no	1	1
# text = Z?stane mu nav?c nemovitost a ta i za situace, kdy to vypad?, ?e ceny realit budou v nejbli???ch letech sp??e klesat, je p?eci jen v?t?? jistotou ne? infla?n? pen?ze.	i	Nom	2	no	6	1
# text = Ti uva?uj? o v?stavb? vlastn?ch kotelen, zejm?na plynov?ch.	a	Akk	1	no	1	1
# text = Ta mus? o sv? m?sto na severoamerick?m trhu vedle americk?, japonsk? a dal?? konkurence tvrd? bojovat, sna?it se o co nejvy??? efektivnost a kvalitu p?i p?ijateln?ch cen?ch.	i	Instr	1	no	1	1
# text = Ty kone?n?m z?kazn?k?m neprod?vaj? a jejich klientelu tvo?? jen cestovn? kancel??e.	i	Nom	1	no	1	1
# text = Ty maj? pak n?kdy takovou publicitu, ?e to doty?nou kancel?? prakticky zlikviduje.	i	Nom	1	no	1	1
# text = A ta u? slo?? na hrom?dku dva, t?i i v?ce tis?c bod?, a tam ten rozptyl nemus? b?t droben?m.	i	Nom	1	no	2	1
# text = Ten p?ece bude m?t eminentn? z?jem na tom, aby firma prosperovala.	i	Dat	1	no	1	1
# text = Ty maj? v?t?inou do p?l kar?tu.	i	Akk	1	yes	1	1
# text = Sp?? ne? jednotlivci maj? z?jem o investov?n? do diamant? podniky a ty pak kupuj? kameny kolem kar?tu.	i	Nom	1	yes	12	1
# text = Ty tedy byly!	i	Lok	1	no	1	1
# text = Ten v?zkum koncipuje, firma ho v ter?nu realizuje a hlavn? ?e?itel, op?t s t?mem, zpracov?v? v?sledky. -	i	Akk	1	yes	1	1
# text = Ta v?ak v podstat? existuje.	i	Nom	1	no	1	1
# text = Ti snad posoud?, jak poslanec db? o sv? vzd?l?n? ?i o sv?j zevn?j?ek.	a	Gen	1	yes	1	1
# text = ten jej pak m? u sebe a? do z?niku z?stavn?ho pr?va.	a	Dat	2	no	1	1
# text = Ti jsou pro n? na prvn?m m?st?, na druh?m b?vaj? azylant?, na t?et?m z?jemci z dal??ch st?t? Evropsk? unie a na?i lid? p?ich?zej? na ?adu a? ?tvrt?, vysv?tlil.	a	Akk	1	no	1	1
# text = Ty v?ak kon?? k 1. ?ervenci 1995, zat?mco zm?n?n? vklady jsou na dobu neur?itou, co? je podle n?m?stka hlavn? probl?m.	i	Gen	1	no	1	1
# text = Ta je spolu s ministerstvem kultury, Klubem rod?k? a p??tel Kutn? Hory a Spole?nost? p??tel kultury slova hlavn?m organiz?torem ortenovsk?ho festivalu, kter? p?ipom?n? jednu z nejtalentovan?j??ch osobnost? na?? literatury tohoto stolet?.	a	Gen	1	no	1	1
# text = A ten jim chyb?t bude, i kdyby Milo? Zeman zv??il sv?j odhad rozpo?tov?ho deficitu t?eba o dal??ch 300 miliard.	i	Akk	1	no	2	1
# text = Ten, jak zn?mo, m??e b?t velmi nest?l?.	i	Akk	1	no	1	1
# text = Ty toti? po rozd?len? ?eskoslovenska a n?stupu nov? politick? garnitury ztratily pracn? budovan? kontakty na feder?ln? ??edn?ky.	i	Gen	1	no	1	1
# text = Ten je v obrovsk? m??e p?erozd?lov?n?.	i	Akk	2	no	1	1
# text = Ta je v porovn?n? s kurzov?mi cenami (za kter? se akcie obchoduj? na kapit?lov?ch trz?ch) natolik vysok?, ?e se st?vaj? vd??n?m objektem spekulace i investic.	i	Nom	1	yes	1	1
# text = Jde toti? o pom?r (pod?l) a ten je konstantn?.	i	Akk	1	no	9	1
# text = A ten se m?n?.	i	Gen	1	no	2	1
# text = Ta byla pro n?j v??m.	i	Gen	1	no	1	1
# text = Podle l?ka?? jste sice zdrav?, ale r?ny na du?i, ty se vyl??it nedaj?.	i	Nom	1	no	12	1
# text = Ti ?asto z?st?vaj? mimo evidenci, nebo? v?t?inou funguj? norm?ln? s pomoc? siln?ch br?l? ?i dal??ch speci?ln?ch pom?cek.	a	Nom	1	no	1	1
# text = I ti p?ijdou ob?as k ?razu.	a	Nom	1	no	2	1
# text = Samoz?ejm? s v?jimkou Hlasatele, ten proti radnici nikdy ani ne?pitl.	a	Gen	1	no	6	1
# text = ten v?ak vych?zel ze Speeova Trutznachtigalla, kde?to Nitsch je origin?ln?, nap?. v t?to apote?ze slunce:	a	Gen	1	yes	1	1
# text = Ten m? sice z?jem nastoupit, ale z?ejm? a? po vy?et?en? u sv?tozn?m?ho specialisty Lee Kwanga v USA se rozhodne o jeho startu.	a	Gen	1	no	1	1
# text = Ten umo??uje sva?ovat tlakov? n?doby o tlou??ce st?ny 2- 12 mm z nerezov? oceli pro pou?it? v N?mecku a roz???it exportn? mo?nosti stroj?ren na evropsk?ch trz?ch.	i	Akk	1	yes	1	1
# text = Ta se nyn? pohybuje kolem jedn? koruny a proto je z?izov?n? v?trn?ch elektr?ren sp??e kon??kem ne? p?edm?tem podnik?n?.	i	Akk	1	no	1	1
# text = Ten - spolu s n?chylnost? k narkotik?m - kdysi znamenal i Hopper?v osobn? probl?m, kv?li kter?mu musel v sedmdes?t?ch letech svou filma?skou dr?hu do?asn? p?eru?it.	i	Instr	1	no	1	1
# text = Ten vel? jasn?: p?ijmout de?tn?k ODS ?i jin? koali?n? strany.	i	Nom	1	no	1	1
# text = Ti sv?m podpisem a v?rokem potvrzuj? pravdivost a objektivitu managementem pod?van?ch informac?.	a	Gen	1	no	1	1
# text = Ten se m?l ?dajn? pod?let na manipulaci s celn?mi deklaracemi.	a	Nom	1	no	1	1
# text = Ta za??n? ji? dnes ?ty?mi z?pasy, v nich? budou bojovat celky, kter? skon?ily na 5. - 12. m?st?.	i	Gen	1	yes	1	1
# text = Ty se staly jedinou hodnotou i pro lidi, kte?? je?t? p?ed dv?ma lety pracovali s l?skou a m?li ke sv? pr?ci vztah.	i	Gen	1	no	1	1
# text = Ten m? b?t ekologicky ?etrn?m zp?sobem provozov?n s odlu?ova?em zastaral? konstrukce a? do zimy roku 1996/97, kdy bude natrvalo vy?azen z provozu.	i	Gen	1	no	1	1
# text = Policist? tvrdili, ?e st??leli st?le je?t? pouze do vzduchu, ?e to v?ak byli oni, na koho st??leli nezn?m? jedinci z davu.	a	Nom	2	no	16	0
"# text = 1. obdob?: "" jasn? nep??tel"" - v?dom? ""oni a my"" jasn? definuje nep??tele, kter?ho je t?eba porazit."	a	No data	0	no	12	0
# text = Kdo si zahr?v? s nacionalismem, nikdy nev?, kdy se objev? je?t? v?t?? nacionalista, ne? je on s?m.	a	Nom	3	no	19	0
# text = Ponech?me budoucnosti, aby rozhodla , nakolik se tyto v?hledy zmoud?el?ch prorok? spln?, nebo naopak upadnou v zapomn?n? a oni s nimi.	a	Gen	2	no	22	0
"# text = On byl prvn?, kter? cht?l sem do Ameriky dostat Lu?ka Buka?e a Jirku Dud??ka, a to bylo v dob?ch, kdy se je?t? nic nesm?lo."""	a	Nom	3	no	1	0
# text = Kdyby j?m byl ob?an - bylo by to lehk? a oni by mohli j?t hned dom?.	a	Nom	6	no	12	0
# text = Nikdo nev?, co v?d? oni.	a	Nom	2	no	6	0
# text = Jedin? ony v ?ech?ch je?t? st?le dok?? proti ve?ker? logice v?c? rozhodovat o tom, co bude vlastn? v tom kter?m p??pad? ob?an? obecn? z?jem...	 i	Nom	1	no	2	0
# text = Ve v?erej??m utk?n? skupiny B se Finov? se sv?mi norsk?mi sousedy dlouho netr?pili, i kdy? Prvn? branku dostali oni.	a	Instr	1	yes	20	0
# text = Podobn? bilance je i v?sledkem cest vicepremi?ra: i on v?cem?n? podepsal jen p?r nep??li? p?evratn?ch smluv o bezv?zov?m vstupu dr?itel? zvl?tn?ch pas? a sna?il se p?ipravit p?du pro budouc? dohody obchodn?ho r?zu.	a	Gen	1	no	10	0
"# text = Pr?v? to, co oba protagonist? pot?ebovali: Boross prok?zal, ?e nejen opozi?n? politici, ale i on je s to nav?zat p??telsk?, korektn? kontakty se severn?m sousedem;"	a	Nom	2	no	19	0
"# text = Co to znamen?, shrnul hned po uzav?en? volebn?ch m?stnost? ??f FMLN Joaqu?n Villalobos: ""Jsme druhou nejv?t?? silou a on s n?mi mus? jednat."""	a	Nom	5	no	22	0
# text = Mo?n?, ?e pr?v? doma obl?kne r?d tu starou, dobrou vestu a m? sv? d?ti nejen k tomu, ?e mus? slu?n? zdravit, zdvo?ile pod?kovat, neut?rat si nos do ruk?vu, ale n?jak?m zp?sobem jim v?t?puje i to, ?e je dobr? pom?hat slab??mu nebo ?e nemaj? d?lat druh?mu to, co necht?j?, aby oni ?inili jim.	a	Dat	2	no	60	0
"# text = On s?m m?l mo?nost nau?it se n?co od Angela, dvacetilet?ho pouli?n?ho zlod?je, kter? mus? u??vat sv?j ""l?k"" a? sedmkr?t denn?, aby zahnal vlny bolesti."	a	Nom	1	no	1	0
# text = V???m tomu, ?e i oni mohou leckomu zm?nit ?eb???ek hodnot.	a	Akk	3	no	6	0
# text = On prvn? p?ivezl afgh?ny do ?eskoslovenska.	a	Instr	2	no	1	0
# text = On se v?ak i tomuto nepravd?podobn?mu nebezpe?? rad?ji vyhne a pou?? n?s, ?e je to kontradiktivn?.	a	Nom	4	no	1	0
# text = P?es to v?echno v?ak i on pat?? mezi druhy zapsan? v ?erven? knize a jeho po?ty neust?le klesaj? - jednou z hlavn?ch p???in je p?edev??m ztr?ta vhodn?ch hn?zdn?ch p??le?itost?.	a	Nom	4	no	6	0
"# text = Ten se rovn?? soust?e?uje p?edev??m na posti?en? bizarn?ho rozm?ru sv? role, snad ani on s?m nev???, ?e ""B?h je l?ska""."	a	Gen	2	no	15	0
# text = Ve druh? polovin? hry v?ak tak? ona upad? do pouh?ho stereotypu miluj?c? naivky.	a	Dat	2	no	7	0
# text = Svou re?ijn? vizitku p?edkl?d? Jaroslav Gillar ve chv?li, kdy by m?la prob?hnout transformace M?stsk?ch divadel pra?sk?ch a on je jedn?m z hork?ch kandid?t? na ?editelsk? k?eslo staronov? sc?ny.	a	Nom	2	no	19	0
# text = V t?to sout??i bude m?t ?R jen jednoho z?stupce a, bude-li hr?t Sparta kvalifikaci PMEZ a neusp?je-li, p?ibude i ona.	i	Nom	2	no	26	0
# text = Zda je pr?v? on t?m nejschopn?j??m, uk?e budoucnost.	a	Akk	1	no	4	0
# text = Ona ?ije v n?jak?m klimatu, z?skala jist? zku?enosti a zjist?, jak je v?hodn? d?vat nikoli koali?n?, ale jen ??ste?n? koali?n? n?vrhy do parlamentu.	i	Nom	1	no	1	0
# text = Vedle ob?asn?ch, ale st?le z??dkav?j??ch n?vrat? k n?ro?n?j?? tematice se spol?h? na atraktivn? tituly s ban?ln?mi z?pletkami a konfek?n?m st?ihem - na p?esn? takov?, proti nim? on i jeho druzi coby kritici ohniv? brojili.	a	Gen	6	no	29	0
# text = Kdy? v prvn? p?li 70. let si uzn?n? zjedn?valy politick? p??b?hy, p?isp?l k nim i on - na televizn?ch obrazovk?ch spat??me z t?to skupiny Krvav? svatby.	a	Akk	2	no	18	0
# text = Cht?l bych b?t dobr? jako on, aby lid? mohli jednou ??kat, ?e tu byl jen jeden Ronaldo.	a	Nom	1	no	6	0
# text = Tymich hraje srdcem a v???m, ?e i on n?m pom??e, ?ekl tren?r Bohemians Bar?t.	a	Nom	2	no	9	0
# text = Dokonce ani obsluha sila, pakli?e by ji ovl?dl fanatik, a ona nosi? s hlavic? sestykovala, nem??e raketu odp?lit.	i	Nom	2	no	13	0
# text = Byla ustavena Rada pro zahrani?n? investice, kter? p?edsed? on s?m, a jsou navrhov?na opat?en?, je? znamenaj? v?razn? posun v my?len? Rus? a kter? by m?la zakr?tko zes?lit p??liv investi?n?ch prost?edk? ze zahrani??.	a	Nom	4	no	10	0
# text = V parlamentu jsou sice pom?rn? po?etn? skupiny zam??en? proti vl?d? a premi?rovi, av?ak i ony jsou si v?domy toho, ?e je zapot?eb? co nejrychleji zm?nit image Ruska v cizin? a z?skat v?ce zahrani?n?ho kapit?lu.	i	Nom	1	no	16	0
# text = Castro USA opakovan? obvinil , ?e za sou?asn? exodus mohou ony .	i	Akk	1	no	11	0
# text = Ani on v?ak nic bl?e nevysv?tlil, ani nesd?lil, zda IRA vyhl?s? p??m???.	a	Nom	3	no	2	0
# text = Jako libero v?ak mus? zastat sedmdes?t a? osmdes?t procent v organizaci obrany, co? on nedok?zal, ??k? tren?r o kapit?novi Sta?ovi, kter? byl o p?est?vce vyst??d?n.	a	Dat	4	no	15	0
# text = Tren?r v?t?zn?ho Bene?ova Jaroslav H?eb?k m?l d?vod k velk? radosti, on v?ak projevil l?tost nad sv?m drnovick?m kolegou: S tren?rem Br?cknerem m?m velmi dobr? vztahy, a je mi l?to, ?e jsme vyhr?li pr?v? na jeho h?i?ti.	a	Nom	1	no	12	0
# text = Dokazuje to, ?e p?edstava, ?e sou?asn? proces stejn? jednou vy?st? v palestinsk? st?t, se tak za?ila, ?e ji? nestoj? za to formality vytahovat (V?ak ony se je?t? budou hodit, a? se n?co zadrhne).	i	Akk	1	no	30	0
# text = Ani ona neu?la prozrazen?, ale n?mo?n? p?chota (marine corps) ji uznala jako prvn? ?enskou p??slu?nici.	a	Nom	5	no	2	0
# text = V?dy? pr?v? Nizozemci, ale i Francouzi, Ameri?an? a dal?? cizinci n?s d?razn? nab?daj? k zachov?n? toho, co jsme dlouhodob? budovali a co oni ve sv?ch zem?ch postr?daj?: po celou divadeln? sezonu denn? kvalitn? p?edstaven? na st?l?ch sc?n?ch v kamenn?ch divadlech.	a	Nom	2	no	26	0
# text = Ale kdy? on je nezn?...	a	Lok	3	no	3	0
# text = Jde v n?m o inspirativn? ?inorodost a pr?v? ona - nikoli tedy bohatstv? nebo popularita - d?l? ze v?ech protagonist? Genu tolik zpochyb?ovanou elitu.	i	Akk	1	no	9	0
# text = A on ji absolvoval t?ikr?t.	a	Nom	7	no	2	0
# text = Nov??ek Bene? jist? nen? lep?? ne? on, to ukazuj? r?zn? individu?ln? m??en?, ov?em rozd?l nen? moc velk?.	a	Nom	2	no	7	0
# text = Uhde do telefonu Kmentovi ?ekl mimo jin?, ?e by bylo sv?m zp?sobem dobr?, kdyby s t?m vy?el ve?ejn?, proto?e on to zat?m ???il formou dopis?, a po zve?ejn?n? by se v?c projednala soudn?.	a	Dat	3	yes	24	0
# text = Jak sd?lil ?editel Novy na ot?zku LN, o existenci voln?ch kan?l? nebyla ve?ejnost informov?na a on s?m se o jejich p?id?len? dov?d?l z tisku.	a	Nom	2	no	17	0
# text = Schl?n, kter? se zm?n?n?m obvin?n?m c?til potrefen, na to odepsal, ?e on nekrade, n?br? ?e Kudl?n op?t l?e, a kdo pr? l?e, ten tak? krade.	a	Nom	2	no	15	0
# text = A? se V?clav Havel sv?m mor?ln?m odsouzen?m jak?koliv zbrojn? v?roby v tehdej??m ?eskoslovensku politicky ukvapil, nebo ne, je z?ejm?, ?e on ji nezru?il.	a	Nom	3	no	24	0
# text = Ani oni nemaj? p?vodn?, p?ehlednou knihu o sv?ch d?jin?ch.	a	Nom	1	no	2	0
# text = Za to obyvatel? domu nemohou, nicm?n? jsou to p?edev??m oni, kdo se mus? na ?e?en? vznikl?ch probl?m? pod?let.	a	Nom	2	no	11	0
# text = Z ?ry soustavn?ho poni?ov?n? vze?li oni, kte?? se zaprod?vali za ono?en? d??ny.	a	No data	0	no	6	0
# text = Oni toti? nejsou ochotni si p?iznat, ?e vstup vojsk v srpnu 1968 za n? vy?e?il dilema jak d?l.	a	Gen	4	no	1	0
# text = Jak se tedy m??e drobn? vkladatel t?to instituci br?nit, zvl?? kdy? si ona nech? sv? jedn?n? podlo?it odbornou expertizou.	i	Dat	1	no	14	0
# text = Ony ale zvolily k?iv?ck? zp?sob boje a podpo?ily hulv?tstv?, sprostotu a le? v politice.	i	Nom	2	no	1	0
# text = Ani ona do posledn? chv?le netu?ila, kdo se vlastn? za jm?nem jak?si nezn?m? tenistky z t?et? stovky ?eb???ku skr?v?.	a	Nom	1	no	2	0
# text = Clintonova administrativa je sice ve sv?ch odhadech inflace pon?kud optimisti?t?j?? ne? MMF, i ona v?ak po??t? s jej?m r?stem z leto?n?ch 2.7 na 3.2 procenta v p??t?m roce.	i	Nom	1	no	15	0
# text = Tu chce mu?stvo sv?mi v?kony a v?sledky na ja?e zastavit.	i	Gen	0	no	1	1
# text = Ten se v?ak sv?ho nov?ho m?sta m??e ujmout a? od roku 1997, tedy rok po skon?en? funk?n?ho obdob? dosavadn? ??fky opery Evy Herrmannov?.	a	Akk	1	no	1	1
# text = Ten dnes vede operu v ?esk?ch Bud?jovic?ch a s pra?sk?m souborem n?kolikr?t spolupracoval.	a	Akk	1	yes	1	1
# text = Ten zahrne i etickou a rodinnou v?chovu, bude se u?it v souvislostech a nevyhne se ani pou?en?m o kriminalit?, o nemocech a tak? o nebezpe?? drogov?ch z?vislost?.	i	Gen	2	no	1	1
# text = Ten maj? Bene?ov? (200 m), Klap??ov? a Obdr??lkov? (ob? 50 m), Makowkov? (v??ka), Rudov? (60 m p?ek.), Val?k (60 m) a ?uldesov? (800 m).	i	Nom	0	no	1	1
# text = Ten se ostatn? sv?mi atributy o?? ?i ho??c?ch much nab?z? tak okat?, a? je to cel? nav?sost podez?el?.	i	Dat	1	yes	1	1
# text = Ty se podle st?ediska odehr?ly pouze v noci na v?erej?ek v Grozn?m, kde ?e?en?t? ost?elova?i ?to?ili na pozice rusk?ch vojsk.	i	Gen	1	no	1	1
# text = Ta u? st?la t?m?? dv? miliardy korun a v sou?asn? dob? p?edstavuje p?ibli?n? dv? t?etiny z?kladn?ho jm?n? spole?nosti.	i	Akk	1	no	1	1
# text = Ta povede z Prahy p?es ?st? nad Labem do Dr???an ve Spolkov? republice N?mecko.	i	Gen	1	yes	1	1
# text = Na bruslen? jsem m?l dost ?asu, proto?e jsem si p?vodn? myslel, ?e z?stanu v IHL, a ta za??n? a? o m?s?c a p?l pozd?ji ne? extraliga.	i	Lok	1	no	20	1
# text = Ta se toti? specializovala na p??pravu voj?k? pro balk?nskou misi.	i	Gen	1	yes	1	1
# text = Ta pracuje jako redaktorka ?TK.	a	Nom	1	yes	1	1
"# text = MUDr. Petr ?oupek: ""Byl takov? trend, v prvn? ?ad? informovat rodinu, jen?e podle etick?ho kodexu mus? prvn? informaci dostat pacient a teprve ten rozhodne, zda ji pust? d?l."""	a	Nom	1	no	28	1
# text = Tu mus? d?t l?ka?.	i	Akk	0	no	1	1
# text = Ta tvrdila, ?e vra?du zorganizoval s?m Nabijev, aby z?skal z?minku k z?sahu proti opozi?n?m sil?m, nebo ?e jde o vy?izov?n? ??t? mezi vl?dnouc?mi klany.	i	Akk	1	no	1	1
# text = Tu najdeme i na jeho prvn?m albu (Pavel Richter Band), kde kytaru, kter? hraje opakuj?c? se motivy, doprov?zej? jen perkuse, v?t?inou obr?cen? hrnce.	i	Dat	0	no	1	1
# text = Ta upozornila na to, ?e se pravd?podobn? brzy uvoln? n?kter? st?nky zanikaj?c? federace (nap??klad pr?v? modernizovan? budova Feder?ln?ho shrom??d?n?).	i	Gen	1	yes	1	1
# text = Ti spolu se z?chran??i nemocnice a Hlavn? b??sk? z?chrann? slu?by i s piloty a mechaniky Belairu (d??ve Slovairu) tvo?? sehran? t?m.	a	Nom	1	no	1	1
"# text = ""To je marn?, ten u? je mrtv?, je toti? alergick? na bodnut? v?elou,"" ??kaj? bezradn?, okolo stoj?c? lid?."	a	Gen	2	no	6	1
