Id;Comment;Like;Comment's timestamp;Post's timestamp;#Deaths;#Infected;#Healed;Annot 1;Annot 2;Annot 3;Final annotation
16;Idiotizmi ma i madhi qe kam parë në jetë është se vetura të italis dhe shqipëris ka në mas të madhe në Kosovë ,sikur pak me mendu qeveria kishte me vepru shumë heret mirpo jan të nxanun me poste ishalla ka hunda ju dalin të paskrupuj ,Kosova qe 20 vjet nuk ka drejt me kalu kufijt e bash per coronavirus po i leni kufijt e hapur ,edhe kufiri me shqiperi pse nuk mbyllet qka na duhen te huajt kur ne vendin e tyre të poshtrojnë ,ju gjith politikanet thirreni vetem pak at tru nese ka mbet diqka në të ....;1;Friday, March 13, 2020 6:58pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;2;2;2;2
17;Mbani te paster telefonat gjithashtu;0;Friday, March 13, 2020 6:16pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;0;0;0
18;Nese ne nje te ardhme,paraqitet nevoja per staf ndihmes,un jam i gatshem edhe paraqitem vullnetar.;0;Friday, March 13, 2020 6:09pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;1;1;1
19;Bravo me leju njerin me aardh prej Italie ne kete gjendje. Turp...;2;Friday, March 13, 2020 6:04pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;2;2;2;2
20;Cili eshte numri, bejeni share sa me shume se ju duhet njerzve;0;Friday, March 13, 2020 5:42pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
21;kontroloni tjert njerz qka u kon  me kontakt me ta dy persona;0;Friday, March 13, 2020 5:32pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
22;Kyrminister Albin Kurti dhe M.Shendetsi Arben Vitia , Ju kisha lut qe te  merrni me kujdes kete situat , ne shumicen e instutcioneve private nuk lejohet maskat te vendosen pershkak se  krijon panik te  konsumatori ,te mbyllen lokalet si kafenet ,  dhe te krijohet me hapsir me e madhe ne mes tavulinave  ,  te rishikohet dhe nje her  neper qendra trektare  per  rritje te qmimit , maska te ket per qdo  banor , te ket dezinfektus ne qdolokal ,  te besh obligative qendrimin ne shtepir  duke pasur prejashtim  rastet urgjente , instutcioni i infektives te jet vetem per pac me koronovirus  ,  furrat e bukes  te behet ryshikimi i kualitetit te tyre , m;3;Friday, March 13, 2020 5:31pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
23;Ju lutem edhe institucioneve tjera te marrin masa sa me shpejte qe te jete e mundur!Lokalet e restoranet te mbyllen ma heret ose te ndjekin shembullin e Shqiperise. Transporti njekohesisht edhe te kete kontrolle policore per levizje. Qendrat tregtare ku edhe vet punoj, edhe pse pak eshte zvogelu numri i njerezve, ende ka frekuentim. Shpresoj qe rastet te mos rriten.;4;Friday, March 13, 2020 5:26pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;1;0;1
24;Hajde  urime liberalizimi i vizave;1;Friday, March 13, 2020 5:22pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;0;1;1
25;Kapni shikoni listat e udhëtarve që kan ardhë bashk me këta. ;5;Friday, March 13, 2020 5:20pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
26;Çfarë absurditeti, po vjen nga Italia me punu për CARITAS-in në Kosovë.CARITAS, faleminderit për ndihmën që na sollet, edhe këtë (koronavirusin) e kishim mangu.;12;Friday, March 13, 2020 5:18pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;2;2;2;2
27;Duhet me na informu sa me pare ku kane qarkullu keta dy persona! ASAP;2;Friday, March 13, 2020 5:13pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
28;Mbyllni kufijte sot!;0;Friday, March 13, 2020 5:12pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
29;Sa mani komunikati bllokoni krejt merni masa si shiperia se kty menxi kan met veq pleqt thuja te na per ni jav hecin krejt;0;Friday, March 13, 2020 5:10pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;2;0;0
30;Mos bani panik oh njerz se te allahut jemi edhe te aj do kthemi;2;Friday, March 13, 2020 5:09pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;1;0;1
31;Ku me dit sa persona i kan infektu ne aeroport, dyt jan të ardhun nga Italia , këta kan ardhe para se mi mbyll fluturimet, tash pritni rastet rend!;11;Friday, March 13, 2020 5:09pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;0;0;0;0
32;Ai bre ket e patem mangu ne dore te zotit qofshim;1;Friday, March 13, 2020 5:05pm GMT;Friday, March 13, 2020 5:00pm GMT;0;2;0;1;1;0;1
33;Duhet me u shpalle gjendje e jashtzakonshme edhe nese dojme me pas kontroll duhet me dal ushtria ne rruge.Ndryshe shqiptari nuk e kupton rrezikun global te virusit.;0;Tuesday, March 17, 2020 3:06pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;2;2;2;2
34;jeni me te miret ne rajon europ e ne tere boten lidhur me masat e mara per korona virusin zoti drejtor i institutit kombetar i shendetit publik profesor NASER . kete nuk e them une si nje qytetar i thjesht kosovar por kete e thone statistikat europiane . Rekomandimet tuaja ne keto momente jan jete a vdekje per qytetarin kosovar . Eshte fat i madhe ne kete fatkeqsi qe i ka ndodhe ketij popull qe te kemi gardianin e pare ne ruajtjen e shendetit te kesaj popullate;1;Monday, March 16, 2020 10:12pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;1;1;1;1
35;Mendoj qe Qeveria duhet t'i vendos të ardhurit në Kosovë në hotele/apo kampe, në karantinë për 30 ditë, madje, të jenë të rrethuar nga policia, në mënyrë që ta keni situatën nën kontrollë. ;3;Monday, March 16, 2020 6:08pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
36;Albin Kurti pse more nuk i mbyllni kufijt ??? Kkur e dini qe nuk keni me mujt me i perballu nese rritet nr i te infektuarve ??;0;Monday, March 16, 2020 5:19pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
37;O dasht moti me i mbyll kufijt edhe mi ndalu ardhjet ne aeroport , tash qe veq ka fillu mu perhap mos u lodhni ma , bile ju kisha than kthene normalitetin ne vend , kahere o dasht me mar veprime;0;Monday, March 16, 2020 5:04pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;2;0;0
38;A eshte virus i njejte (SARS-CoV-2) dhe  (COVID-19)?Ju lutemi te na informoni pasi qe OBSH po eshte shume e kjarte rreth informimit publike.Ju faleminderit.;1;Monday, March 16, 2020 4:44pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
39;PSE BRE SPO NDALONI CDO UDHETIM NGA CDO VEND SE NE KEMI SHACA KREJT BOTEN e jane qu tash me ik prej bote me ardhe mu sheru ne Kosove ! O Zot a ka kush i meson keta BUDALL !!!!!!!!!!!!!;1;Monday, March 16, 2020 4:12pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;2;2;2;2
40;E cka u ba me udhetaret tjere qe kane qene me ta ne aeroplan?;2;Monday, March 16, 2020 3:52pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
41;A kane ardhe veq keta dy me Airoplan privat ??? Qysh eshte e mundur qe jane ndalu veq keta dy, e udhetaret tjere jo ??? Arben Vitia minister a e kemi lluksin per nje veprim amatoresk si ky ??;4;Monday, March 16, 2020 3:36pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;2;2;2;2
42;Ju përgzoj për punën që e bëni, mirpo shteti jonë duhet me marr msim prej vendeve tjera të cilat tashmë e kan mbyll kufirin ajror dhe atë tokësor. Mendoj që nëse nuk mbyllen kufijt dhe nuk merren masa  më strikte, ekonomia e Kosovës shumë shpejt do të gjendet në bankrot, për shkak të izolimit të fuqisë puntore dhe frikës së përhapjes të Sars-Cov-2.;2;Monday, March 16, 2020 3:35pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;1;1;1;1
43;E udhetaret e tjere qe kane ardhe ne ate fluturim? A jane udhezu me u izolu ne shtepite e tyre? A jane mare te dhena per ta, ku kane me qendru, sa anetare familje kane? A i eshte kumtu qe potencialisht jane te infektuar edhe ata?Mbyllni secilin kufi! Asnje dalje, asnje hyrje. Aq!;15;Monday, March 16, 2020 3:23pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
44;O mshelni kufit mos te hin mo kerkush ;1;Monday, March 16, 2020 3:20pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
45;Mbyllne more kufirin me krejt!;3;Monday, March 16, 2020 3:16pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
46;Pse te  nderuar nuk  vepruat  njejt  edhe me  kta  kriminelet  qe  erdhen  nga  italia,  pse  nuk  i  ndalut per  testim  tu e  dite  qe  jemi  popell  i  flliqt  i  pa  kultur, i  lat  mi  perhap  virusin...  kta  qe sjane  rujte  e  kan  dal  tu e  dite  qe  kane  ardh  prej  vendeve  epidemike  ju  deshiroi  semundje  sa  me  te  rende kriminelave;0;Monday, March 16, 2020 3:14pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;2;2;2;2
47;Sa veta kan qene ne bord a jan ndalu qe te gjithe apo si ??!!!;0;Monday, March 16, 2020 3:08pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
48;Ndalin mo kto hyrje.Dy jone zbulu,sigurt e keni qe nga aeroporti e pikat tjera kufitare tu kan fut dhjetra te tjere.;1;Monday, March 16, 2020 3:07pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
49;Po udhetaret bashk me ta a i keni testu?;2;Monday, March 16, 2020 3:04pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
50;U kan doft ma heret mi blloku kufi edhe aeroporte sikur kto dy raste .Ju lumt;7;Monday, March 16, 2020 3:02pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;1;1;1;1
51;T.L. lexo dy raste t reja prej kahit.  ;1;Monday, March 16, 2020 3:01pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
52;A.Rr.,a pozitiv jeni ju ne Londer a?;0;Monday, March 16, 2020 3:00pm GMT;Monday, March 16, 2020 2:58pm GMT;0;2;0;0;0;0;0
53;Mos e boni tmadhe njerz, korona vjen shkon so sen kaluse . Ashtu kshtu ish ardh sa biznismeni shkon en Kin pi Kosove. bohuni tfort lutne zotin mos tju bjen;0;Tuesday, March 17, 2020 3:31pm GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;1;1;1;1
54;Diqka spo kuptoj, beni apel tek ne te kemi kujdes, te mbajm distanc, te mos kemi kontakte me njerez... dhe ne fund te infektuarit i leshoni ne shtepi ;3;Tuesday, March 17, 2020 9:59am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
55;Me nejt ne shpi po duhet me pas pare me nejt se pa pare ska;1;Tuesday, March 17, 2020 9:00am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
56;Nuk e di pse vin kur e din qe kan epidemi njerz tposhter  ;0;Tuesday, March 17, 2020 8:16am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;2;2;2;2
57;Unë ju kisha lutur të gjithëve të keni respekt sepse asnjëri nga ne nuk infektohet me dëshirë dhe nuk besoj që infekton të tjerët me vetëdije. Vetëm të bashkuar dhe me respekt për njëri tjetrin mund t'ia dalim. Mbroni vetveten dhe tjetrin dhe e kalojmë edhe këtë sfidë.....;5;Tuesday, March 17, 2020 8:13am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;1;1;1;1
58;Ju lumtë Institutit Shëndetësisë Kosovēs , për informata , bravo .;0;Tuesday, March 17, 2020 5:31am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;1;1;1;1
59;Jane qu SHACAT peshe ! Pa ja u ndalu Kosoven per krejt jeten se kisha lene ! Ckaaaaaaaaaaa kane me lyp kur eshte gjendja e jashtezakonshme bre pika ju rafte ! A ne Kosove mu sheru kane gjete a ! TURP;3;Tuesday, March 17, 2020 5:26am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;2;2;2;2
60;Komplet pasagjeret e te henes duhet testuar .;0;Tuesday, March 17, 2020 5:08am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
61;N'cilin qytet?;0;Tuesday, March 17, 2020 2:03am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
62;Mundeni me percell kete video tek minuta e 2:40 (nese veq ju shkon nerva me pa prej filimit) https://youtu.be/dSQztKXR6k0?t=163Nga kjo minute mund te mesoni se si mund ta ruajm njeri tjetrin duke mos i injektu personat qe nuk jon te prekur me CoVid-19 :(  ;10;Tuesday, March 17, 2020 12:45am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
63;E kahit koka ne KS;0;Tuesday, March 17, 2020 12:41am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
64;Aw aw qfar “ Kontrrolla” ne Airoport ‍♀️;0;Tuesday, March 17, 2020 12:36am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;2;0
65;Edhe njer grup studentesh mduket kane qen ne Itali para 1 jave. A kishit mujt mi analizu te gjitha hyrjet. Mi testu. ?;0;Tuesday, March 17, 2020 12:35am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
66;Pse lejojne me na ardh nKosove pse??? NE SPATEM ASNJE RAST NGA KTU KU.JEMI. MERRNI MASA TE RREPTA NE KUFI.;8;Tuesday, March 17, 2020 12:34am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;2;2;0;2
67;Info seshte e plot pa te dhena te plota. Nga eshte cfare moshe ka etj..;1;Tuesday, March 17, 2020 12:34am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;2;0;0
68;Sigurt te gjithe kan me dale me  virus qka kan qene ne qate aeroplan, 3 u bonen  e zeze dita per Kosoven!;1;Tuesday, March 17, 2020 12:27am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;2;0;2;2
69;E si është e mundur që i fejuari i saj nuk është i infektuar?Apo ndoshta atij dhe të tjerëve që kanë qenë në Aeroplan iu shfaqen symptomat pas 2 jave dhe as testi nuk iu tregon tani?Çka është ndërmarr me personat tjerë të cilët kanë udhëtuar bashkë?Apo do të prisni deri sa ata 100-200 udhëtarët së bashku me të fejuarin e pacientës, të infektojnë nga 5 secili e pastaj të merrni masa?;7;Tuesday, March 17, 2020 12:20am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;2;2;0;2
70;Po pse more me i lane me ardhe, pse si kane nalt fluturimet te ejten‍♂️‍♂️;2;Tuesday, March 17, 2020 12:19am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
71;Gjitha rastet jan qe kan ardh nga shtetet tjera kush I la me hy??;6;Tuesday, March 17, 2020 12:13am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
72;Qyteti?;0;Tuesday, March 17, 2020 12:12am GMT;Tuesday, March 17, 2020 12:08am GMT;0;1;0;0;0;0;0
73;Kush eshte rasti i 17-të pse nuk jepni te dhena?;0;Tuesday, March 17, 2020 6:12pm GMT;Tuesday, March 17, 2020 1:38pm GMT;0;0;0;0;0;0;0
74;Pse po i referoheni ketij virusi me SARS-CoV-2? A nuk eshte COVID-19?;1;Tuesday, March 17, 2020 4:06pm GMT;Tuesday, March 17, 2020 1:38pm GMT;0;0;0;0;0;0;0
75;Ju lutem a keni bere testimin ne fshatin Restelice ne Dragash krejr fshati ishte ne Itali dhe jane kthyer nje nume ri konsiderueshem ! Ju lutem futni ne karantine me mbikqyrje te policise sa me shpejt ! Merri informata;4;Tuesday, March 17, 2020 3:21pm GMT;Tuesday, March 17, 2020 1:38pm GMT;0;0;0;0;0;0;0
76;Ju lumt;0;Tuesday, March 17, 2020 1:54pm GMT;Tuesday, March 17, 2020 1:38pm GMT;0;0;0;1;1;1;1
77;Si me 19 rsste shpallet gjendja jashtezakonshme ???;0;Wednesday, March 18, 2020 2:12pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
78;"Deri sa ju jepni deklarata "" dilni ne natyrë "" i joshni popullatën ma dal ne parkun e Germise,  e shendrrohet në ""1 maj"" turp a?Ndermerrni hapa më shpejtë me polici shprendani popullaten sepse mjafton vetem njeri me pas virusin.";2;Wednesday, March 18, 2020 1:30pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;2;2;2
79;"Instituti Kombëtar i Shëndetësisë Publike të KosovësSi esht e mundur qe nuk jan te njejtat masa nese shfaqet virusi ne tjerat vende te Kosovese gjith Vitia, Klina, Malisheva u mbyllen ne karantine ndersa ""Gjakova"" jo.Nuk keni qasje ne Gjakove per shkaqje Politike apo si esht puna? ";0;Wednesday, March 18, 2020 9:01am GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;0;0;0
80;A jeni normal more po ju me zor pe bini virusin.Un sun po kuptoj knej i kan anulu linjat ajrore knej per qdo dit ka ni avion prej anglise prej gjermanise si me pru virusin me qellim ktu.Bile kqyrni prej italis n mujshit me pru naj avion krejt me pacienta qysh ja keni nis;2;Tuesday, March 17, 2020 9:14pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;2;2;2
81;Nuk po e mar vesh para kesaj kumtese thate se jane 16 raste. Tash neper mjete te informimit me keto dy rastet nga Gjakova po thuhet se jane 19 raste te konfirmuara. Cka eshte kjo matematike 16+2 po i bjen 19.  A e jane 18 app 19 raste te konfirmuara. Nese jane 19 nga cili vend eshte personi i 17.;0;Tuesday, March 17, 2020 7:47pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;2;0;0
82;Dy Rastet e fundit qe sa koh jan kthyer, nga gjermania , mundesisht informatat ma te sakta;0;Tuesday, March 17, 2020 7:00pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
83;Institucion i nderuar.Si qytetare kam një  sugjerim pēr ju, të ketë masë ndëshkuese për bashkatdhetarët  tanë e ardhur më herë dhe që do vinë tash e tutje në vendlindje nga shtetet  e prekura nga virusi Covid19.Masa ndëshkuse të jetë me gjobë, gjobë në vlerë 20000€.;9;Tuesday, March 17, 2020 6:50pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
84;KJO OSHT VET FAJI JUJ! DJE DULET THAT QE NUK PRISH PUNE ASGJE ME DAL DITEN.. TASH POPULLI U RI-KEMB PRAP! O PO IZOLOHEM O PE BOJM DISKOTEK EDHE PO INFEKTOHEM KREJT.. Zgjedhni!;4;Tuesday, March 17, 2020 6:42pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;2;0;2
85;L.L. e kan harru jazhincen me kqyr pomdoket gahahahah ;2;Tuesday, March 17, 2020 6:39pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;0;0;0
86;Aa jon prej fshatrave te gjakoves apo qytetit ? Kur kan hy n’KS jepni naj info ma shum ... ;1;Tuesday, March 17, 2020 6:38pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
87;K.A. qitash 19 koka hyp ;0;Tuesday, March 17, 2020 6:38pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
88;Po pse more po i lejoni me hy... ape shihni qe veq po rritet nr .. tmerr ;2;Tuesday, March 17, 2020 6:26pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;1;2;2
89;Allahu na ndihmoftë populli jonëJu kisha lut ti mbyllni kufijt Hyrje/Dalje  Përndryshe do të pësojm një pjesë e popullit nga ky virus !;3;Tuesday, March 17, 2020 6:23pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;1;1;1;1
90;C. J. aki info najsen;1;Tuesday, March 17, 2020 6:19pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
91;Palidhje jemi tu nejt neper shpija nese nuk i mshelin kufijt;2;Tuesday, March 17, 2020 6:15pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;0;0;0
92;B. A. qysh je ti ;0;Tuesday, March 17, 2020 6:15pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
93;L. ruje veten ;0;Tuesday, March 17, 2020 6:12pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;1;0;0;0
94;Ishalla sja kan bgjit kujVeq me mend bkry e me ardh nksKaja nonen ;1;Tuesday, March 17, 2020 6:10pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;2;0;2;2
95;Duhet sa me shpejte te shpallet gjendje e jashtezakonshme ne menyre qe te parandolohet perhapja e Virusit!Lutemi qe instituti te jep kete rekomandim qeveresi qe te mundesohet menagjimi i situates!Perndryshe s'di qysh kemi me ja dal!;9;Tuesday, March 17, 2020 6:09pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
96;A jane te ndaluar ne kufijA po kane kontaktuar me te tjerët;2;Tuesday, March 17, 2020 6:09pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
97;Kufijte eshte duft me i monitorue qysh para dy javesh..tash eshte vone;3;Tuesday, March 17, 2020 6:08pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;2;2;2
98;G. I. R. mbajuni ;2;Tuesday, March 17, 2020 6:07pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
99;Mbyllni more kufijt,mos leni hyrje-dalje!;9;Tuesday, March 17, 2020 6:07pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;0;0
100;PSE PO LEJONI ME HY !!!!    TASH VIJNE NGA GJERMANI MU SHERU NE KOSOVE !!!!!  ........FANTASTIKE;2;Tuesday, March 17, 2020 6:04pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;0;0;2;0
101;Lutem te jen te fundit !;2;Tuesday, March 17, 2020 5:59pm GMT;Tuesday, March 17, 2020 5:54pm GMT;0;2;0;1;1;1;1
102;Ju lumtë pë punën që bëni në shërbim të qytetarëve!;0;Wednesday, March 18, 2020 3:56pm GMT;Wednesday, March 18, 2020 2:35pm GMT;0;1;0;1;1;1;1
103;Sa u bon?;0;Wednesday, March 18, 2020 3:53pm GMT;Wednesday, March 18, 2020 2:35pm GMT;0;1;0;0;0;0;0
104;Ne kete shkrim ka ende hyrje ne Kosove ....krejt e keni pshtjell ......S SJAN NDAL ENDE HYRJET NE KS AAAAAAAAAAAAAAA;0;Wednesday, March 18, 2020 2:55pm GMT;Wednesday, March 18, 2020 2:35pm GMT;0;1;0;0;0;2;0
105;Pa Karantinë të detyruar për të gjithë të ardhurit në Kosovë pas datës 14 Shkurt, çdo veprim do të jetë i kotë.Do të ngelni vetëm duke konfirmuar raste e asgjë tjetër më shumë.Mjerisht, në çdo qeshtje me rëndësi në Kosovë , shofim politikë e jo veprim.Qofsha i gabuar, por me këtë politikë e këtë mënyrë e të vepruarit, mendoj që do të ngelim duke konfirmuar raste, deri situata të dal jashtë kontrollit.Pa panik!Kujdes maksimal personal e familjar!As shteti as Instituti, nuk mund të na mbrojnë më shumë se ne vetën, familjen dhe rrethin tonë!;18;Wednesday, March 18, 2020 2:53pm GMT;Wednesday, March 18, 2020 2:35pm GMT;0;1;0;2;0;0;0
